layer,unit,description,similarity
head,285,cat,0.45162964
head,286,cat,0.2725525
head,287,cat,0.40719604
head,288,leopard,0.19848633
head,289,lynx,0.20184326
head,290,tiger,0.28012085
head,291,pasture,0.27755737
head,292,tiger,0.41119385
head,293,pasture,0.25335693
head,294,yellowstone,0.2074585
head,295,forestry,0.306427
head,296,svalbard,0.48477173
head,297,bamboo,0.19976807
head,298,grass,0.16513062
head,299,hoodia,0.1737976
head,300,limestone,0.31536865
head,301,leaf,0.44198608
head,302,leaf,0.21612549
head,303,leaf,0.33340454
head,304,leaf,0.660614
head,305,soil,0.32995605
head,306,granite,0.19976807
head,307,leaf,0.21105957
head,308,leaf,0.4510498
head,309,bee,0.3210144
head,310,leaf,0.30526733
head,311,leaf,0.4407959
head,312,leaf,0.33370972
head,313,leaf,0.41864014
head,314,granite,0.3039856
head,315,leaf,0.36663818
head,316,leaf,0.24017334
head,317,leaf,0.50997925
head,318,leaf,0.42886353
head,319,leaf,0.5181885
head,320,leaf,0.49334717
head,321,leaf,0.28961182
head,322,leaf,0.39956665
head,323,flower,0.275177
head,324,leaf,0.42053223
head,325,leaf,0.45910645
head,326,leaf,0.43389893
head,327,sediments,0.19949341
head,328,membranes,0.2268982
head,329,granite,0.26516724
head,330,squirrel,0.18945312
head,331,rabbit,0.16415405
head,332,cat,0.34432983
head,333,worldcat,0.15826416
head,334,fibers,0.12963867
head,335,bark,0.26376343
head,336,habitat,0.2243042
head,337,beavers,0.1390686
head,338,guinea,0.15826416
head,339,horse,0.54837036
head,340,zebra,0.82507324
head,341,livestock,0.42575073
head,342,pasture,0.3267212
head,343,pasture,0.3695984
head,344,wetland,0.22000122
head,345,bovine,0.7864685
head,346,cows,0.46072388
head,347,pasture,0.48632812
head,348,sheep,0.75527954
head,349,sheep,0.41470337
head,350,sheep,0.28860474
head,351,pasture,0.3944702
head,352,pasture,0.3210144
head,353,pasture,0.38946533
head,354,namibia,0.3109131
head,355,sheep,0.42770386
head,356,worldcat,0.240448
head,357,cat,0.25857544
head,358,worldcat,0.22872925
head,359,cats,0.2559204
head,360,otter,0.1749878
head,361,cats,0.2166748
head,362,grass,0.14144897
head,363,texture,0.24441528
head,364,rainforest,0.14419556
head,365,rainforest,0.20196533
head,366,highways,0.22598267
head,367,gorilla,0.122680664
head,368,fur,0.14572144
head,369,animalsex,0.12194824
head,370,wildlife,0.15045166
head,371,wildlife,0.19976807
head,372,safaris,0.2394104
head,373,monkeys,0.16003418
head,374,wildlife,0.18011475
head,375,branches,0.18566895
head,376,squirrel,0.10897827
head,377,pets,0.16415405
head,378,rainforest,0.16653442
head,379,branches,0.15252686
head,380,fostering,0.29953003
head,381,wildlife,0.17907715
head,382,parrot,0.15829468
head,383,cat,0.18258667
head,384,fauna,0.16842651
head,385,elephants,0.38134766
head,386,elephants,0.40966797
head,387,firefox,0.18777466
head,388,vegetation,0.11465454
head,389,aquaculture,0.36993408
head,390,fish,0.19290161
head,391,aquaculture,0.2850647
head,392,fishes,0.31365967
head,393,fishes,0.20724487
head,394,aquaculture,0.19967651
head,395,aquaculture,0.29086304
head,396,underwater,0.18560791
head,397,aquaculture,0.24081421
head,398,backgammon,0.14663696
head,399,garments,0.15188599
head,400,commencement,0.5559082
head,401,musicians,0.2640381
head,402,acoustic,0.3604126
head,403,tomcat,0.5143738
head,404,airfares,0.62231445
head,405,skyline,0.32174683
head,406,altar,0.61328125
head,407,taxis,0.32998657
head,408,ferries,0.25125122
head,409,clock,0.20440674
head,410,bees,0.30252075
head,411,cooking,0.3179016
head,412,bin,0.21591187
head,413,firearms,0.33111572
head,414,purse,0.32177734
head,415,bakery,0.7031555
head,416,gymnastics,0.19714355
head,417,balloons,0.18865967
head,418,stationery,0.28155518
head,419,toddler,0.16586304
head,420,musicians,0.3081665
head,421,stairs,0.51760864
head,422,gyms,0.37765503
head,423,salon,0.63879395
head,424,salon,0.45629883
head,425,barn,0.7654419
head,426,kitchen,0.23391724
head,427,winery,0.697052
head,428,planting,0.1701355
head,429,baseball,0.47592163
head,430,basketball,0.44586182
head,431,infant,0.3675232
head,432,musicians,0.22473145
head,433,swimming,0.27896118
head,434,towels,0.43527222
head,435,bathroom,0.6142578
head,436,hatchback,0.4156494
head,437,lighthouse,0.7553406
head,438,laboratory,0.32495117
head,439,tourists,0.18283081
head,440,beer,0.42739868
head,441,beer,0.44458008
head,442,tower,0.37329102
head,443,dotted,0.47421265
head,444,bicycles,0.5717163
head,445,swimwear,0.20175171
head,446,notebooks,0.29458618
head,447,telescopes,0.2826233
head,448,nest,0.18762207
head,449,cabins,0.39370728
head,450,snowmobile,0.21591187
head,451,pendants,0.17941284
head,452,crochet,0.38076782
head,453,bookshelf,0.6531067
head,454,bookshop,0.886261
head,455,bottled,0.18432617
head,456,archery,0.2654419
head,457,ties,0.2605896
head,458,monument,0.23165894
head,459,lingerie,0.24685669
head,460,waterfront,0.35327148
head,461,zipper,0.27285767
head,462,sweeping,0.21499634
head,463,bucket,0.22045898
head,464,leather,0.30981445
head,465,uniforms,0.19683838
head,466,platforms,0.44091797
head,467,butcher,0.403656
head,468,taxis,0.45651245
head,469,cookware,0.44006348
head,470,candles,0.27908325
head,471,cannon,0.3117981
head,472,canoeing,0.65600586
head,473,cooking,0.34140015
head,474,knit,0.46636963
head,475,driving,0.34924316
head,476,carnival,0.3735962
head,477,toolkit,0.29144287
head,478,boxes,0.3840332
head,479,hatchback,0.5206604
head,480,entrance,0.2475586
head,481,manuals,0.22549438
head,482,dashboard,0.26245117
head,483,castles,0.64434814
head,484,sailing,0.5436096
head,485,technics,0.20523071
head,486,musicians,0.3543396
head,487,phonephone,0.19869995
head,488,chain,0.30786133
head,489,fence,0.383667
head,490,textile,0.3491516
head,491,logger,0.23205566
head,492,dresser,0.29956055
head,493,dresser,0.7224426
head,494,bell,0.24359131
head,495,cabinets,0.47705078
head,496,christmas,0.36242676
head,497,church,0.5468445
head,498,auditorium,0.553833
head,499,cooking,0.40859985
head,500,caves,0.49475098
head,501,hooded,0.21496582
head,502,shoes,0.26223755
head,503,glassware,0.30130005
head,504,coffee,0.22543335
head,505,kettle,0.43530273
head,506,spiral,0.45898438
head,507,locker,0.34146118
head,508,workstations,0.35339355
head,509,shops,0.3397827
head,510,ferries,0.41583252
head,511,convertible,0.5383911
head,512,wine,0.3048706
head,513,musicians,0.2980957
head,514,shoes,0.22561646
head,515,hats,0.3062439
head,516,nursery,0.4621582
head,517,construction,0.3753662
head,518,motorcycle,0.43478394
head,519,boxes,0.34005737
head,520,nursery,0.9305115
head,521,kitchen,0.45446777
head,522,putting,0.23168945
head,523,strollers,0.12008667
head,524,zipper,0.31600952
head,525,dams,0.5195923
head,526,bureau,0.6575928
head,527,workstations,0.5392456
head,528,phonephone,0.2876892
head,529,infant,0.37072754
head,530,terminals,0.22982788
head,531,belts,0.10391235
head,532,furnished,0.4873352
head,533,crochet,0.6177368
head,534,dishwasher,0.5866089
head,535,motorcycle,0.5968323
head,536,harbor,0.5836487
head,537,snowboarding,0.35440063
head,538,dome,0.47821045
head,539,flooring,0.3083191
head,540,drilling,0.2635498
head,541,drums,0.22006226
head,542,drummer,0.16726685
head,543,gyms,0.31637573
head,544,cooking,0.48303223
head,545,attic,0.3907776
head,546,guitars,0.3583374
head,547,trains,0.573822
head,548,furnished,0.4814148
head,549,textile,0.28707886
head,550,kitchen,0.39624023
head,551,makeup,0.21850586
head,552,feathers,0.18429565
head,553,bureau,0.64212036
head,554,ferries,0.40124512
head,555,firefighters,0.2628479
head,556,fireplace,0.7975464
head,557,courthouse,0.41604614
head,558,musicians,0.17547607
head,559,chairs,0.45944214
head,560,helmets,0.16748047
head,561,warehousing,0.73117065
head,562,fountains,0.54989624
head,563,handwriting,0.23608398
head,564,bedrooms,0.7001648
head,565,trains,0.5385742
head,566,musicians,0.10491943
head,567,cookware,0.55999756
head,568,fur,0.32440186
head,569,trucks,0.24911499
head,570,chef,0.24630737
head,571,kiosk,0.30908203
head,572,glassware,0.31134033
head,573,kart,0.37094116
head,574,golf,0.49935913
head,575,golf,0.4105835
head,576,venice,0.48745728
head,577,cookware,0.26776123
head,578,gown,0.44143677
head,579,conservatory,0.37387085
head,580,greenhouse,0.7633972
head,581,automotive,0.4577942
head,582,marketplace,0.42993164
head,583,upstairs,0.16378784
head,584,bracelet,0.30960083
head,585,backstage,0.18063354
head,586,vehicles,0.30560303
head,587,woodworking,0.20980835
head,588,wicker,0.572876
head,589,bathroom,0.24108887
head,590,pocketpc,0.24551392
head,591,textile,0.6138611
head,592,proliant,0.18164062
head,593,youngest,0.16595459
head,594,upstairs,0.17636108
head,595,agriculture,0.34921265
head,596,wood,0.22601318
head,597,leather,0.23303223
head,598,furnished,0.45074463
head,599,lattice,0.39556885
head,600,handle,0.22451782
head,601,gown,0.4022522
head,602,playground,0.26922607
head,603,carriage,0.4543152
head,604,glassware,0.16009521
head,605,imac,0.18969727
head,606,ironing,0.33914185
head,607,carving,0.184906
head,608,jeans,0.27355957
head,609,jeep,0.42907715
head,610,shirt,0.34051514
head,611,paintings,0.16470337
head,612,street,0.37039185
head,613,cockpit,0.39266968
head,614,geisha,0.17416382
head,615,dotted,0.13305664
head,616,rope,0.51013184
head,617,culinary,0.42578125
head,618,cookware,0.4529419
head,619,lamps,0.34173584
head,620,laptops,0.350708
head,621,lawn,0.1965332
head,622,microphone,0.10513306
head,623,stationery,0.16021729
head,624,library,0.6390991
head,625,ferries,0.40664673
head,626,resistor,0.10757446
head,627,limousine,0.4772339
head,628,cruises,0.6324158
head,629,makeup,0.2824707
head,630,shoes,0.21011353
head,631,bottles,0.25961304
head,632,dotted,0.32843018
head,633,concentrating,0.1326294
head,634,shed,0.3137207
head,635,subchapter,0.3326416
head,636,handbag,0.4244995
head,637,mailbox,0.27105713
head,638,swimwear,0.1982727
head,639,swimwear,0.23239136
head,640,pavement,0.33822632
head,641,toddler,0.18890381
head,642,social,0.1619873
head,643,mask,0.16012573
head,644,lattice,0.13781738
head,645,swings,0.18463135
head,646,maze,0.40731812
head,647,baking,0.38198853
head,648,bathroom,0.657959
head,649,stone,0.40689087
head,650,microphone,0.25350952
head,651,kitchens,0.8241577
head,652,enlisted,0.48638916
head,653,cookware,0.3508911
head,654,buses,0.5440674
head,655,pantyhose,0.24432373
head,656,hatchback,0.40963745
head,657,aircraft,0.33099365
head,658,knit,0.46517944
head,659,baking,0.4468994
head,660,cottages,0.3734436
head,661,automobile,0.4112854
head,662,powerpc,0.36166382
head,663,monastery,0.5647583
head,664,monitors,0.3534851
head,665,motorcycle,0.5385742
head,666,kitchen,0.25039673
head,667,commencement,0.47528076
head,668,mosque,0.7619629
head,669,curtain,0.42922974
head,670,motorcycle,0.5247803
head,671,biking,0.517395
head,672,tents,0.7058716
head,673,desk,0.42132568
head,674,toolbox,0.13061523
head,675,street,0.33181763
head,676,horse,0.23266602
head,677,corrosion,0.22546387
head,678,nurses,0.15060425
head,679,gemstones,0.29434204
head,680,breastfeeding,0.38116455
head,681,laptops,0.39105225
head,682,boulevard,0.3092041
head,683,musicians,0.18441772
head,684,drinking,0.12506104
head,685,cockpit,0.337677
head,686,cylinder,0.25350952
head,687,organ,0.53500366
head,688,laboratory,0.25872803
head,689,gown,0.40847778
head,690,bovine,0.413208
head,691,pilots,0.19302368
head,692,foil,0.2819214
head,693,canoeing,0.58795166
head,694,ferries,0.30474854
head,695,corrosion,0.2730713
head,696,painter,0.32266235
head,697,grandchildren,0.2387085
head,698,palace,0.4223938
head,699,musicians,0.14910889
head,700,towels,0.23522949
head,701,airborne,0.30526733
head,702,gyms,0.28726196
head,703,benches,0.41711426
head,704,street,0.41687012
head,705,buses,0.44732666
head,706,patio,0.51690674
head,707,kiosk,0.2534485
head,708,pedestal,0.28494263
head,709,dotted,0.5146179
head,710,silicone,0.11532593
head,711,perfumes,0.28259277
head,712,microbiology,0.30874634
head,713,bureau,0.3510437
head,714,guitarist,0.14355469
head,715,engraving,0.11672974
head,716,fence,0.35897827
head,717,vehicle,0.3847351
head,718,bridge,0.4638672
head,719,toddler,0.22872925
head,720,bottled,0.28619385
head,721,cushions,0.4838562
head,722,pong,0.26391602
head,723,wavelength,0.19543457
head,724,sailing,0.4378357
head,725,vase,0.23822021
head,726,woodworking,0.32363892
head,727,observatory,0.39505005
head,728,bags,0.19174194
head,729,kitchen,0.6776428
head,730,irrigation,0.24758911
head,731,plumbing,0.3069458
head,732,camcorders,0.20257568
head,733,street,0.28884888
head,734,taxis,0.3590088
head,735,textile,0.3760376
head,736,billiards,0.68356323
head,737,bottled,0.4416504
head,738,plant,0.50616455
head,739,kitchens,0.3829651
head,740,plumbers,0.25790405
head,741,carpets,0.4350891
head,742,workstations,0.38537598
head,743,corridor,0.4758911
head,744,aircraft,0.37701416
head,745,classroom,0.54452515
head,746,hockey,0.40841675
head,747,boxing,0.30325317
head,748,purse,0.42141724
head,749,scrapbooking,0.17626953
head,750,quilts,0.5791321
head,751,racing,0.5153198
head,752,badminton,0.5917053
head,753,radiator,0.33706665
head,754,workstations,0.2889099
head,755,telescopes,0.3395691
head,756,stormwater,0.177948
head,757,cabin,0.5564575
head,758,ropes,0.17092896
head,759,camcorder,0.26608276
head,760,refrigerator,0.706604
head,761,couch,0.1817627
head,762,restaurant,0.5809326
head,763,firearms,0.23648071
head,764,firearms,0.30160522
head,765,chairs,0.42514038
head,766,ovens,0.54000854
head,767,stationery,0.16964722
head,768,baking,0.14123535
head,769,stationery,0.16870117
head,770,shoes,0.25057983
head,771,locker,0.46261597
head,772,campus,0.14990234
head,773,vases,0.21789551
head,774,shoes,0.26065063
head,775,textile,0.42422485
head,776,musicians,0.2883911
head,777,scrolls,0.17977905
head,778,cookware,0.17965698
head,779,buses,0.6157837
head,780,sailing,0.52941895
head,781,stadium,0.47784424
head,782,monitors,0.46237183
head,783,screws,0.24920654
head,784,plumbing,0.18884277
head,785,driving,0.26974487
head,786,classroom,0.3267517
head,787,motif,0.22698975
head,788,boutique,0.4892273
head,789,room,0.39151
head,790,wicker,0.53305054
head,791,trolley,0.19171143
head,792,snow,0.20681763
head,793,wrapper,0.12927246
head,794,bathroom,0.47314453
head,795,skiing,0.5810547
head,796,knit,0.2305603
head,797,bedrooms,0.33740234
head,798,notebooks,0.121795654
head,799,doors,0.35153198
head,800,casinos,0.5889282
head,801,snorkeling,0.31451416
head,802,snowmobile,0.46875
head,803,snow,0.40802002
head,804,sinks,0.6074524
head,805,soccer,0.21478271
head,806,knitting,0.35546875
head,807,stadium,0.21136475
head,808,hats,0.3006897
head,809,dinnerware,0.29711914
head,810,powerbook,0.32196045
head,811,radiator,0.2290039
head,812,aircraft,0.3746643
head,813,cooking,0.42730713
head,814,watersports,0.49465942
head,815,webs,0.7557373
head,816,yarn,0.3651123
head,817,automotive,0.50268555
head,818,lights,0.22640991
head,819,venue,0.37454224
head,820,railways,0.5539856
head,821,bridge,0.46585083
head,822,chefs,0.25247192
head,823,pediatric,0.23388672
head,824,textile,0.46115112
head,825,limestone,0.31445312
head,826,binoculars,0.08911133
head,827,stoves,0.68963623
head,828,grille,0.32235718
head,829,buses,0.38909912
head,830,hospitals,0.230896
head,831,bedrooms,0.64120483
head,832,temple,0.402771
head,833,uss,0.2954712
head,834,suit,0.2800598
head,835,gardens,0.23605347
head,836,sunglasses,0.26611328
head,837,sunglasses,0.25112915
head,838,melanoma,0.31228638
head,839,bridge,0.469635
head,840,housewife,0.24169922
head,841,sweatshirts,0.33078003
head,842,swimwear,0.2270813
head,843,playground,0.44570923
head,844,bathroom,0.22064209
head,845,proactive,0.13076782
head,846,lamps,0.4357605
head,847,deployment,0.23873901
head,848,workstations,0.3373413
head,849,kettle,0.41107178
head,850,crochet,0.20776367
head,851,televisions,0.4489441
head,852,tennis,0.31143188
head,853,cottages,0.43527222
head,854,auditorium,0.7227173
head,855,dotted,0.26504517
head,856,machinery,0.25775146
head,857,salon,0.47470093
head,858,roofing,0.42562866
head,859,kitchen,0.49282837
head,860,shops,0.39642334
head,861,toilet,0.6465759
head,862,organisers,0.116119385
head,863,sculptures,0.19613647
head,864,towing,0.34176636
head,865,nursery,0.31524658
head,866,tractors,0.33831787
head,867,trucking,0.4493103
head,868,tile,0.22366333
head,869,jacket,0.20553589
head,870,bike,0.4989624
head,871,sailing,0.6000366
head,872,camcorders,0.23861694
head,873,entrance,0.36257935
head,874,buses,0.8026123
head,875,musicians,0.24636841
head,876,jacuzzi,0.6008606
head,877,terminals,0.28463745
head,878,keyboard,0.25549316
head,879,umbrella,0.23757935
head,880,bmx,0.4046936
head,881,interiors,0.3650818
head,882,housekeeping,0.24255371
head,883,vase,0.28018188
head,884,crypt,0.5418396
head,885,textile,0.54776
head,886,kiosk,0.36053467
head,887,garments,0.23202515
head,888,bridge,0.440094
head,889,musicians,0.32724
head,890,volleyball,0.6480713
head,891,breakfasts,0.29135132
head,892,decor,0.3067627
head,893,wallet,0.42495728
head,894,closet,0.57696533
head,895,aircraft,0.4968872
head,896,sinks,0.6218262
head,897,laundry,0.5963135
head,898,bottle,0.41851807
head,899,pitcher,0.32495117
head,900,tower,0.37350464
head,901,bottle,0.31933594
head,902,drinking,0.13873291
head,903,hair,0.36694336
head,904,blinds,0.2989502
head,905,blinds,0.45358276
head,906,ties,0.2986145
head,907,wines,0.5628052
head,908,aviation,0.6079407
head,909,cooking,0.53167725
head,910,cooking,0.4524536
head,911,wool,0.49057007
head,912,fence,0.4055786
head,913,harbour,0.32235718
head,914,sailing,0.6719971
head,915,tent,0.41912842
head,916,spreadsheet,0.19467163
head,917,bookstore,0.3147583
head,918,checker,0.24621582
head,919,sign,0.34506226
head,920,intersection,0.40933228
head,921,hardcover,0.20108032
head,922,menus,0.29748535
head,923,australasia,0.46984863
head,924,cooking,0.34152222
head,925,soup,0.39086914
head,926,cooking,0.46340942
head,927,desserts,0.40570068
head,928,desserts,0.3371582
head,929,grandchildren,0.2147522
head,930,bread,0.46261597
head,931,bakery,0.37139893
head,932,bakery,0.26815796
head,933,burgers,0.289917
head,934,food,0.2605896
head,935,recipe,0.33728027
head,936,lettuce,0.45028687
head,937,broccoli,0.29833984
head,938,cabbage,0.26724243
head,939,vegetables,0.36550903
head,940,squash,0.33322144
head,941,squash,0.35986328
head,942,squash,0.3288269
head,943,vegetables,0.39517212
head,944,cabbage,0.2541809
head,945,tomatoes,0.31604004
head,946,plants,0.30419922
head,947,mushrooms,0.2328186
head,948,apples,0.3551941
head,949,strawberry,0.30770874
head,950,fruits,0.24771118
head,951,lemon,0.2953186
head,952,fruit,0.37347412
head,953,pineapple,0.25845337
head,954,fruits,0.28375244
head,955,fruit,0.2531433
head,956,fruit,0.3578186
head,957,fruits,0.28582764
head,958,hay,0.6925354
head,959,pasta,0.3595276
head,960,recipe,0.32580566
head,961,dough,0.5175476
head,962,cookbooks,0.3633728
head,963,pizza,0.45999146
head,964,recipe,0.3623352
head,965,culinary,0.28848267
head,966,wines,0.5097351
head,967,coffee,0.32839966
head,968,tableware,0.24664307
head,969,recipe,0.34887695
head,970,alps,0.5579834
head,971,bubbles,0.54833984
head,972,geological,0.47860718
head,973,micronesia,0.3638916
head,974,yellowstone,0.43170166
head,975,lakeside,0.3876648
head,976,coastline,0.47470093
head,977,beach,0.34765625
head,978,beach,0.41015625
head,979,valley,0.3850708
head,980,volcano,0.334198
head,981,baseball,0.5620117
head,982,wedding,0.39767456
head,983,underwater,0.33547974
head,984,fields,0.47885132
head,985,flowers,0.43841553
head,986,plants,0.30361938
head,987,maize,0.34851074
head,988,leaf,0.38812256
head,989,fruit,0.29244995
head,990,leaves,0.32724
head,991,carbonate,0.25994873
head,992,leaf,0.17913818
head,993,sediments,0.22714233
head,994,eggs,0.28778076
head,995,flowers,0.25048828
head,996,mushrooms,0.23135376
head,997,fungi,0.22131348
head,998,wheat,0.3283081
head,999,toilet,0.5148926
